yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_Gkszji4ckI_5yq_MFVzXg8mNO	Alia Shawkat	Prom_Wars	Prom Wars: Love Is a Battlefield	['Raviv Ullman', ' Rachelle Lefevre', ' Alia Shawkat', ' Kevin Coughlin']	2008-05-09	2008-05-09	1	Yes	Yes	Yes
id_Gkszji4ckI_5yq_PFRafAzqQ7	Alia Shawkat	The_Intervention	The Intervention	['Melanie Lynskey', ' Jason Ritter', ' Skylar Bernon', ' Kira Pozehl']	2016-01-26	2016-08-26	0	No	Yes	No
id_Gkszji4ckI_5yq_tMAFKuWpLZ	Alia Shawkat	Green_Room	Green Room	['Anton Yelchin', ' Joe Cole', ' Alia Shawkat', ' Callum Turner']	2015-05-17	2016-05-13	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_Rin?l1L?w!	Alia Shawkat	Amreeka	Amreeka	['Nisreen Faour', ' Melkar Muallem', ' Hiam Abbass', ' Alia Shawkat']	2009-01-17	2009-06-17	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_24GoqkuDvq	Alia Shawkat	The_Oranges	The Oranges	['Alia Shawkat', ' Hugh Laurie', ' Oliver Platt', ' Allison Janney']	2011-09-10	2012-10-05	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_Vv44sDGctE	Alia Shawkat	The_Final_Girls	The Final Girls	['Taissa Farmiga', ' Malin Akerman', ' Alexander Ludwig', ' Nina Dobrev']	2015-03-13	2015-11-05	0	No	Yes	No
id_Gkszji4ckI_5yq_wvkQLp6Em3	Alia Shawkat	Queen_of_Cactus_Cove	Queen of Cactus Cove	['Alia Shawkat', ' Alex Frost', ' Jill Andre', ' Marilyn Rising']	2005-12-11	2005-12-11	1	Yes	Yes	Yes
id_Gkszji4ckI_5yq_r3yO4IxxvM	Alia Shawkat	The_Moment	First Squad: The Moment of Truth	['Elena Chebaturkina', ' Mikhail Tikhonov', ' Damir Eldarov', ' Ludmila Shuvalova']	2013-04-21	NaT	0	No	No	No
id_Gkszji4ckI_5yq_OZ20vhb!w0	Alia Shawkat	Bart_Got_a_Room	Bart Got a Room	['Steven Kaplan', ' William H. Macy', ' Cheryl Hines', ' Alia Shawkat']	2008-04-25	2008-04-25	1	Yes	Yes	Yes
id_Gkszji4ckI_5yq_BPIFY3xndn	Alia Shawkat	Wild_Canaries	Wild Canaries	['Sophia Takal', ' Lawrence Michael Levine', ' Alia Shawkat', ' Annie Parisse']	2014-03-08	2015-02-25	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_7sSRNxcCwB	Alia Shawkat	The_Driftless_Area	The Driftless Area	['Anton Yelchin', ' Zooey Deschanel', ' John Hawkes', ' Alia Shawkat']	2015-04-18	2016-04-26	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_wtoqFW2ujC	Alia Shawkat	The_Brass_Teapot	The Brass Teapot	['Juno Temple', ' Michael Angarano', ' Alexis Bledel', ' Billy Magnussen']	2012-09-08	2013-04-15	0	No	Yes	No
id_Gkszji4ckI_5yq_KbQeH9aRSk	Alia Shawkat	Adam_Green's_Aladdin	Adam Green's Aladdin	['Adam Green', ' Rodrigo Amarante', ' Penn Badgley', ' Devendra Banhart']	2016-04-15	2016-04-15	1	No	Yes	No
id_Gkszji4ckI_5yq_0QNS6fmZ4H	Alia Shawkat	The_To_Do_List	The To Do List	['Aubrey Plaza', ' Johnny Simmons', ' Bill Hader', ' Alia Shawkat']	2013-07-26	2013-07-26	1	Yes	Yes	Yes
id_Gkszji4ckI_5yq_3GJ7JdTOf9	Alia Shawkat	That's_What_She_Said	That's What She Said	['William Jackson Harper', ' Alia Shawkat', ' Anne Heche', ' Miriam Shor']	2012-01-20	2012-10-19	0	Yes	Yes	Yes
id_Gkszji4ckI_5yq_MeZ6HESPtu	Alia Shawkat	Not_Like_Everyone_Else	Not Like Everyone Else	['Alia Shawkat', ' Illeana Douglas', ' Eric Schweig', ' Ritchie Montgomery']	2006	2006-07-10	0	Yes	Yes	Yes
id_y!9eoMrh0J_5yq_JgNWXujiMO	Ali Atay	Vay_Arkadaş	Vay Arkadas	['Ali Atay', ' Umut Orkun Eskibatman', ' Demet Evgar', ' Mete Horozoglu']	2010-11-05	2010-11-05	1	Yes	Yes	Yes
id_y!9eoMrh0J_5yq_GH6?cYFfhc	Ali Atay	Thou_Gild'st_the_Even	Thou Gild'st the Even	['Ali Atay', ' Tansu Biçer', ' Cengiz Bozkurt', ' Asil Buyukozcelik']	2013-04-12	2013-11-01	0	Yes	Yes	Yes
id_xzPwvIFzIw_5yq_93wVuU5Ipx	Alibaba Akpobome	The_Wedding_Party	The Wedding Party	['Armin Rohde', ' Uwe Ochsenknecht', ' Imogen Kogge', ' Arne Lenk']	2016-09-08	2005-04-21	0	No	No	No
id_acPiz5PWZ6_5yq_WG80tfcAPo	Ali Badshah	The_Breadwinner	The Breadwinner	['Saara Chaudry', ' Soma Chhaya', ' Noorin Gulamgaus', ' Laara Sadiq']	2017	2017-11-17	0	No	Yes	No
id_70BJKf8tGd_5yq_mBlrjuKnp4	Ali Bastian	Strippers_vs_Werewolves	Strippers vs Werewolves	['Adele Silva', ' Martin Compston', ' Billy Murray', ' Ali Bastian']	2012-04-27	2012-11-24	0	Yes	Yes	Yes
id_4rkhJTqgN6_5yq_8lQBlUX?zT	Alice Ansara	La_Spagnola	La spagnola	['Lola Marceli', ' Alice Ansara', ' Lourdes Bartolomé', ' Silvio Ofria']	2001	2001-09-20	0	Yes	Yes	Yes
id_kogp747Xg6_5yq_XF8cK9y4PG	Alice Arno	Female_Vampire	Female Vampire	['Lina Romay', ' Jack Taylor', ' Alice Arno', ' Monica Swinn']	1975	1973-04-10	0	Yes	No	No
id_zXNaEL3SoI_5yq_BcPegrXF00	Alice Babs	Swinging_at_the_Castle	Swinging at the Castle	['Alice Babs', ' Sven Lindberg', ' Yvonne Lombard', ' Gunnar Björnstrand']	1959-03-09	1959-03-09	1	Yes	Yes	Yes
id_zXNaEL3SoI_5yq_sRvS9qVubS	Alice Babs	Resan_till_dej	Resan till dej	['Alice Babs', ' Sven Lindberg', ' Anders Henrikson', ' Hjördis Petterson']	1953-12-19	1953-12-19	1	Yes	Yes	Yes
id_zXNaEL3SoI_5yq_j1BlfpAIan	Alice Babs	Swing_it,_magistern!	'Swing it' magistern	['Adolf Jahr', ' Alice Babs', ' Solveig Hedengran', ' Carl Hagman']	1940-12-21	1940-12-21	1	Yes	Yes	Yes
