id_s?rSM3NEyq_5yq_3UAV8yScN!	Aamani	actedIn	Maavichiguru	inDateTime	1996-05-30	tt0293858	Maavichiguru	30 May 1996	1996	Jagapathi Babu, Aamani, Ranjitha, Allu Ramalingaiah
id_s?rSM3NEyq_5yq_eLKdyODHi0	Aamani	actedIn	Gharana_Bullodu	inDateTime	1995-04-27	tt0257711	Gharana Bullodu	27 Apr 1995	1995	Nagarjuna Akkineni, Ramya Krishnan, Amani, Jayachitra
id_s?rSM3NEyq_5yq_XnUZpRe2QK	Aamani	actedIn	Honest_Raj	inDateTime	1994-04-14	tt0317671	Honest Raj	N/A	1994	Vijayakanth
id_KYfRa7aJhu_5yq_2X8yxyG?1T	Aaminah_Haq	actedIn	Nigah	inDateTime	2002-##-##	tt0269626	Nigah-e-Nafrat	N/A	1935	Master Vinayak, Baburao Pendharkar, Bal Dhavale, Shobhna Samarth
id_wMoHzZc9XC_5yq_rMgHaQ7b!l	Aamina_Sheikh	actedIn	Seedlings	inDateTime	2013-09-20	tt2256833	Seedlings	20 Sep 2013	2013	Tara Mahmood, Mohib Mirza, Mehreen Rafi, Gohar Rasheed
id_wMoHzZc9XC_5yq_tqseiAxX1l	Aamina_Sheikh	actedIn	O21	inDateTime	2014-10-06	tt3395608	O21	06 Oct 2014	2014	Shaan Shahid, Ayub Khoso, Aamina Sheikh, Shamoon Abbasi
id_wMoHzZc9XC_5yq_GykjX89giN	Aamina_Sheikh	actedIn	Good_Morning_Karachi	inDateTime	2013-11-09	tt1842446	Good Morning Karachi	01 Jan 2015	2013	Amna Ilyas, Yasir Aqueel, Beo Raana Zafar, Atta Yaqub
id_WDMw269MFb_5yq_W?R6CpyDBI	Aamir_Ali	actedIn	Yeh_Kya_Ho_Raha_Hai?	inDateTime	2002-10-11	tt0338566	Yeh Kya Ho Raha Hai?	11 Oct 2002	2002	Prashant Chianani, Aamir Ali Malik, Vaibhav Jhalani, Yash Pandit
id_?bjhJhGrxP_5yq_SwQEjh90G!	Aamir_Bashir	actedIn	A_Wednesday!	inDateTime	2008-09-05	tt1280558	A Wednesday	05 Sep 2008	2008	Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Deepal Shaw
id_?bjhJhGrxP_5yq_WRfwpMVgQC	Aamir_Bashir	actedIn	The_Great_Indian_Butterfly	inDateTime	2007-11-11	tt1087852	The Great Indian Butterfly	02 Apr 2010	2007	Aamir Bashir, Sandhya Mridul, Koel Purie, Barry John
