id_DsgXQPgKfo_5yq_n!zc5owePQ	Alfred_Lunt	actedIn	Show_Business_at_War	validOnDate	1943-05-21	tt0036351	Show-Business at War	21 May 1943	1943	Carole Lombard, Walt Disney, John Ford, Darryl F. Zanuck
id_DsgXQPgKfo_5yq_b0xLcvILG!	Alfred_Lunt	actedIn	Sally_of_the_Sawdust	validOnDate	1925-08-02	tt0016308	Sally of the Sawdust	02 Aug 1925	1925	Carol Dempster, W.C. Fields, Alfred Lunt, Erville Alderson
id_DsgXQPgKfo_5yq_7NPBvdKJw0	Alfred_Lunt	actedIn	The_Magnificent_Yankee	validOnDate	1965-##-##	tt0042702	The Magnificent Yankee	03 Aug 1951	1950	Louis Calhern, Ann Harding, Eduard Franz, Philip Ober
id_DsgXQPgKfo_5yq_b1s4iTqPI0	Alfred_Lunt	actedIn	The_Guardsman	validOnDate	1931-11-07	tt0021931	The Guardsman	07 Nov 1931	1931	Alfred Lunt, Lynn Fontanne, Roland Young, Zasu Pitts
id_lkqp68PmjP_5yq_pCgbZtmHn!	Alfred_Lutter	actedIn	The_Cay	validOnDate	1974-10-21	tt0246477	The Cay	21 Oct 1974	1974	James Earl Jones, Alfred Lutter III, Gretchen Corbett
id_jqANEgwJaS_5yq_c5gBJ7B82X	Alfred_Lynch	actedIn	The_Password_Is_Courage	validOnDate	1962-12-21	tt0056335	The Password Is Courage	21 Dec 1962	1962	Dirk Bogarde, Maria Perschy, Alfred Lynch, Nigel Stock
id_jqANEgwJaS_5yq_GJc7W8tgxZ	Alfred_Lynch	actedIn	Something_Like_Love	validOnDate	1968-##-##	tt0166140	Something Like Love	06 Dec 1968	1968	Alfred Lynch, Anna Maria Guarnieri, Giuseppe Salierno, Valentino Esposito
id_jqANEgwJaS_5yq_8UffM248He	Alfred_Lynch	actedIn	On_the_Fiddle	validOnDate	1961-10-10	tt3620530	On the Fiddle?	N/A	2004–	Fay Ripley
id_jqANEgwJaS_5yq_ZWld5CoG!a	Alfred_Lynch	actedIn	West_11	validOnDate	1963-10-08	tt0057677	West 11	29 Sep 1966	1963	Alfred Lynch, Kathleen Breck, Eric Portman, Diana Dors
id_jqANEgwJaS_5yq_TPBBwjMJoT	Alfred_Lynch	actedIn	The_Hill	validOnDate	1965-05-##	tt0118375	King of the Hill	12 Jan 1997	1997–2010	Mike Judge, Kathy Najimy, Pamela Adlon, Johnny Hardwick
id_pLcDvj7xIk_5yq_Hbyq!sBz87	Alfred_Marks	actedIn	Penny_Points_to_Paradise	validOnDate	1951-##-##	tt0043913	Penny Points to Paradise	01 May 1951	1951	Harry Secombe, Alfred Marks, Peter Sellers, Vicky Page
id_pLcDvj7xIk_5yq_dCOxHqhLYU	Alfred_Marks	actedIn	Johnny,_You're_Wanted	validOnDate	1956-01-##	tt0389054	Johnny You're Wanted	01 Jan 1956	1956	John Slater, Alfred Marks, Garry Marsh, Chris Halward
